@RELATION eval  
   
@ATTRIBUTE Type  {A, B, C, D} 
@ATTRIBUTE Size  {100, 200} 
@ATTRIBUTE Instance NUMERIC  
@ATTRIBUTE Budget NUMERIC  
@ATTRIBUTE PopSize NUMERIC  
@ATTRIBUTE Info NUMERIC  
@ATTRIBUTE nb_evaluation NUMERIC  
@ATTRIBUTE AVG_dist NUMERIC  
@ATTRIBUTE MaxMin NUMERIC  
@ATTRIBUTE PR NUMERIC  
@ATTRIBUTE Diversification {1, 0}  

@DATA 
A, 100, 0, 0.04, 1.02, 0.45, 136.33, 0.06, 0.16, 0.07, 0
A, 100, 0, 0.04, 1.02, 0.31, 106.00, 0.04, 0.13, 0.11, 0
A, 100, 0, 0.04, 1.02, 0.13, 36.43, 0.03, 0.05, 0.12, 0
A, 100, 0, 0.04, 1.02, 0.09, 29.37, 0.03, 0.06, 0.02, 0
A, 100, 0, 0.04, 1.02, 0.05, 22.40, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.04, 1.02, 0.04, 21.80, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.04, 1.02, 0.00, 17.57, 0.06, 0.06, 0.00, 0
A, 100, 0, 0.06, 0.02, 1.00, 75.07, 0.08, 0.32, 0.02, 0
A, 100, 0, 0.06, 0.02, 0.45, 45.13, 0.06, 0.21, 0.03, 0
A, 100, 0, 0.06, 0.02, 0.31, 39.77, 0.06, 0.17, 0.02, 0
A, 100, 0, 0.06, 0.02, 0.13, 27.83, 0.04, 0.06, 0.04, 0
A, 100, 0, 0.06, 0.02, 0.09, 25.60, 0.03, 0.06, 0.02, 0
A, 100, 0, 0.06, 0.02, 0.05, 21.77, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.06, 0.02, 0.04, 21.53, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.06, 0.02, 0.00, 17.57, 0.06, 0.06, 0.00, 0
A, 100, 0, 0.06, 0.08, 1.00, 187.43, 0.06, 0.28, 0.10, 0
A, 100, 0, 0.06, 0.08, 0.45, 136.23, 0.03, 0.14, 0.22, 0
A, 100, 0, 0.06, 0.08, 0.31, 98.20, 0.04, 0.13, 0.14, 0
A, 100, 0, 0.06, 0.08, 0.13, 36.37, 0.03, 0.05, 0.12, 0
A, 100, 0, 0.06, 0.08, 0.09, 29.37, 0.03, 0.06, 0.02, 0
A, 100, 0, 0.06, 0.08, 0.05, 22.40, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.06, 0.08, 0.04, 21.80, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.06, 0.08, 0.00, 17.57, 0.06, 0.06, 0.00, 0
A, 100, 0, 0.06, 0.20, 1.00, 220.00, 0.11, 0.31, 0.01, 0
A, 100, 0, 0.06, 0.20, 0.45, 182.97, 0.03, 0.13, 0.20, 0
A, 100, 0, 0.06, 0.20, 0.31, 115.33, 0.03, 0.13, 0.16, 0
A, 100, 0, 0.06, 0.20, 0.13, 36.43, 0.03, 0.05, 0.12, 0
A, 100, 0, 0.06, 0.20, 0.09, 29.37, 0.03, 0.06, 0.02, 0
A, 100, 0, 0.06, 0.20, 0.05, 22.40, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.06, 0.20, 0.04, 21.80, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.06, 0.20, 0.00, 17.57, 0.06, 0.06, 0.00, 0
A, 100, 0, 0.06, 0.61, 1.00, 220.00, 0.19, 0.28, 0.00, 0
A, 100, 0, 0.06, 0.61, 0.45, 184.10, 0.03, 0.12, 0.18, 0
A, 100, 0, 0.06, 0.61, 0.31, 115.33, 0.03, 0.13, 0.16, 0
A, 100, 0, 0.06, 0.61, 0.13, 36.43, 0.03, 0.05, 0.12, 0
A, 100, 0, 0.06, 0.61, 0.09, 29.37, 0.03, 0.06, 0.02, 0
A, 100, 0, 0.06, 0.61, 0.05, 22.40, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.06, 0.61, 0.04, 21.80, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.06, 0.61, 0.00, 17.57, 0.06, 0.06, 0.00, 0
A, 100, 0, 0.06, 1.02, 1.00, 220.00, 0.19, 0.29, 0.00, 0
A, 100, 0, 0.06, 1.02, 0.45, 184.10, 0.03, 0.12, 0.18, 0
A, 100, 0, 0.06, 1.02, 0.31, 115.33, 0.03, 0.13, 0.16, 0
A, 100, 0, 0.06, 1.02, 0.13, 36.43, 0.03, 0.05, 0.12, 0
A, 100, 0, 0.06, 1.02, 0.09, 29.37, 0.03, 0.06, 0.02, 0
A, 100, 0, 0.06, 1.02, 0.05, 22.40, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.06, 1.02, 0.04, 21.80, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.06, 1.02, 0.00, 17.57, 0.06, 0.06, 0.00, 0
A, 100, 0, 0.1, 0.02, 1.00, 75.07, 0.08, 0.32, 0.02, 0
A, 100, 0, 0.1, 0.02, 0.45, 45.13, 0.06, 0.21, 0.03, 0
A, 100, 0, 0.1, 0.02, 0.31, 39.77, 0.06, 0.17, 0.02, 0
A, 100, 0, 0.1, 0.02, 0.13, 27.83, 0.04, 0.06, 0.04, 0
A, 100, 0, 0.1, 0.02, 0.09, 25.60, 0.03, 0.06, 0.02, 0
A, 100, 0, 0.1, 0.02, 0.05, 21.77, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.1, 0.02, 0.04, 21.53, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.1, 0.02, 0.00, 17.57, 0.06, 0.06, 0.00, 0
A, 100, 0, 0.1, 0.08, 1.00, 189.53, 0.06, 0.28, 0.10, 0
A, 100, 0, 0.1, 0.08, 0.45, 136.23, 0.03, 0.14, 0.22, 0
A, 100, 0, 0.1, 0.08, 0.31, 98.20, 0.04, 0.13, 0.14, 0
A, 100, 0, 0.1, 0.08, 0.13, 36.37, 0.03, 0.05, 0.12, 0
A, 100, 0, 0.1, 0.08, 0.09, 29.37, 0.03, 0.06, 0.02, 0
A, 100, 0, 0.1, 0.08, 0.05, 22.40, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.1, 0.08, 0.04, 21.80, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.1, 0.08, 0.00, 17.57, 0.06, 0.06, 0.00, 0
A, 100, 0, 0.1, 0.20, 1.00, 382.67, 0.03, 0.23, 0.27, 0
A, 100, 0, 0.1, 0.20, 0.45, 198.83, 0.02, 0.12, 0.29, 0
A, 100, 0, 0.1, 0.20, 0.31, 115.33, 0.03, 0.13, 0.16, 0
A, 100, 0, 0.1, 0.20, 0.13, 36.43, 0.03, 0.05, 0.12, 0
A, 100, 0, 0.1, 0.20, 0.09, 29.37, 0.03, 0.06, 0.02, 0
A, 100, 0, 0.1, 0.20, 0.05, 22.40, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.1, 0.20, 0.04, 21.80, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.1, 0.20, 0.00, 17.57, 0.06, 0.06, 0.00, 0
A, 100, 0, 0.1, 0.61, 1.00, 417.87, 0.08, 0.21, 0.04, 0
A, 100, 0, 0.1, 0.61, 0.45, 209.63, 0.02, 0.12, 0.32, 0
A, 100, 0, 0.1, 0.61, 0.31, 115.33, 0.03, 0.13, 0.16, 0
A, 100, 0, 0.1, 0.61, 0.13, 36.43, 0.03, 0.05, 0.12, 0
A, 100, 0, 0.1, 0.61, 0.09, 29.37, 0.03, 0.06, 0.02, 0
A, 100, 0, 0.1, 0.61, 0.05, 22.40, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.1, 0.61, 0.04, 21.80, 0.05, 0.05, 0.00, 0
A, 100, 0, 0.1, 0.61, 0.00, 17.57, 0.06, 0.06, 0.00, 0
A, 100, 0, 0.1, 1.02, 1.00, 417.87, 0.09, 0.21, 0.04, 0
A, 100, 0, 0.1, 1.02, 0.45, 209.63, 0.02, 0.12, 0.32, 0
A, 100, 0, 0.1, 1.02, 0.31, 115.33, 0.03, 0.13, 0.16, 0
A, 100, 0, 0.1, 1.02, 0.13, 36.43, 0.03, 0.05, 0.12, 0
A, 100, 0, 0.1, 1.02, 0.09, 29.37, 0.03, 0.06, 0.02, 0
A, 100, 0, 0.1, 1.02, 0.05, 22.40, 0.05, 0.05, 0.00, 0
